Anglais,Francais
animal ,animal
bird,oiseau
dog,chien
fish,poisson
food,nourriture
horse,cheval
tail,queue
light,lumière
sun,soleil
snow,neige
boat,bateau
car,voiture
door,porte
course,terrain/parcours
center,centre
city,ville
farm,ferme
home,maison
house,maison
room,chambre / pièce
bed,lit
plane,avion
road,route
way,chemin
street,rue
surface,surface
school,école
town,village
travel,voyage
port,port
tree,arbre
sea,mer
ship,navire
water,eau
river,rivière
land,terre
island,île
moon,lune
mountain,montagne
plant,plante
star,étoile
wind,vent
fire,feu
wood,bois
ground,sol
Les gens,la famille
boy,garçon
children,enfants
family,famille
friend,ami
girl,fille
group,groupe
man,homme
men,hommes
mother,mère
people,gens
person,personne
king,roi
body,corps
eye,yeux
face,visage
hand,main
head,tête
feet,LES pieds
foot,le pied
age,age
world,monde
year,année
West,l’ouest
Earth,la Terre
North,le nord
East,l’est
country,pays
South,le sud
day,jour
morning,matin
night,nuit
thing,chose
book,livre
box,boite
class,classe
color,couleur
example,exemple
file,dossier
form,forme
line,ligne
machine,machine
map,carte
music,musique
noun,nom
figure,chiffre
air,air
area,aire – zone
base,base
number,numéro
game,jeu
list,liste
object,objet
order,commande
paper,papier
letter,lettre
story,histoire
pattern,modèle
picture,image
piece,pièce
towel,serviette
place,place
point,point
name,nom
word,mot
round,rond
rule,règle
science,science
sentence,phrase
song,chanson
sound,son
state,état
step,pas
table,table
test,test
power,pouvoir
product,produit
part,part
voice,voix
war,guerre
wheel,roue
work,travail
measure,mesure
inch,pouce
time,temps
hour,heure
minute,minute
pound,une livre (monnaie)
money,argent
week,semaine
unit,unité
shape,forme
side,côté
size,taille
beauty,beauté
problem,problème
notice,remarque
question,question
thought,pensée
mind,esprit
heat,chaleur
help,aide
idea,idée
interest,intérêt
love,amour
force,force
end,fin
fact,un fait
blue,bleu
black,noir
dark,noir
gold,or
green,vert
red,rouge
white,blanc
five,cinq
four,quatre
first,premier
hundred,cent
second,second
six,six
ten,dix
thousand,mille
three,trois
best,meilleur
better,mieux
big,grand
large,large
short,court
little,peu
long,long
old,vieux
young,jeune
busy,occupé
clear,clair
common,ordinaire
complete,complet
correctable,corrigible
deep,profond
direct,direct
done,terminé
dry,sec
far,loin
fast,rapide
few,peu
final,dernier
fine,bien
free,libre
full,plein
good,bon,bien
great,génial
half,demi
hard,difficile
hot,chaud
kind,gentil
last,dernier
late,en retard
less,moins
low,faible – bas
new,nouveau
next,suivant
numeral,numéral
other,autre
plain,ordinaire
possible,possible
quick,rapide
ready,prêt
real,réel
rich,riche
right,droite
same,identique
several,nombreux
simple,simple
slow,lent
small,petit
special,spécial
strong,fort
top,haut
usual,habituel
warm,chaud
well,bien
whole,entier 
be,être
have,avoir
act,agir
add,ajouter
answer,répondre
appear,apparaître
ask,demander
begin,commencer
bring,apporter
build,construire
call,appeler
come,came,venir
care,prendre soin de
carry,porter
cause,provoquer
change,changer
check,contrôler
close,fermer
contain,contenir 
cross,traverser
cry,pleurer
cut,couper
decide,décider
develop,développer
do,does,did,faire
differ,différer
draw,dessiner
drive,conduire
ease,faciliter
eat,manger
fall,tomber
feel,ressentir
fill,remplir
find,trouver
fly,voler
follow,suivre
give,donner
get,obtenir
go,aller
govern,gouverner
grow,grandir
happen,se passer
hear,entendre
help,aider
hold,tenir
keep,garder
know,savoir
laugh,rire
lay,coucher
lead,mener
learn,apprendre
leave,quitter
like,aimer
listen,écouter
live,vivre
look,regarder
love,aimer
make,faire
mark,marquer
mean,signifier
miss,manquer
move,bouger
need,avoir besoin
note,noter
open,ouvrir
own,posséder
pass,passer
play,jouer
press,appuyer
produce,produire
pull,tirer
put,mettre
rain,pleuvoir
run,courir
reach,atteindre
read,lire
record,enregistrer
remember,se souvenir
rest,se reposer
say,dire
see,voir
seem,sembler
serve,servir
set,mettre en place
show,montrer
sing,chanter
sit,s’asseoir
sleep,dormir
spell,épeler
stand,se tenir debout
start,commencer
stay,rester
stop,arrêter
study,étudier
take,prendre
talk,parler
teach,enseigner
tell,told,dire
think,penser
travel,voyager
try,essayer
turn,tourner
use,utiliser
wait,attendre
walk,marcher
want,vouloir
watch,regarder
wonder,demander
work,travailler
write,écrire:
can /could,capacité
may /might,permission
must,obligation
should,suggestion
would,bon vouloir
a,un
an,un
any,tout
certain,certain
each,chaque
every,tous
one,un
some,certain
that,ce
the,le
these,ceux ci
this,ce
those,ceux
he,il
her,sa 
him,son
his,le sien
I,je
me,moi
my,mon,ma,mes
our,notre
she,elle
their,leur
them,leur
they,eux
we,nous
us,nous
you,toi
your,ton
how,comment
what,quoi
when,quand
where,où
which,quel,quelle
while,tandis que
who,qui
why,pourquoi
about,sur
above,au-dessus
after,après
again,encore
against,contre
ago,il y a
all,tout
also,aussi
always,toujours
and,et
as,comme
at,à
back, arrière
before,avant
behind,derrière
between,entre
both,tous les deux
but,mais
by,par,de
down,en bas
during,pendant
enough,assez
even,même
far,loin
for,pour
from,de
here,ici
if,si
in,dans
just,juste
lot,beaucoup
main,principal
many,beaucoup
more,plus
most,le plus
much,beaucoup
near,près
never,jamais
no,non,marque de négation
nothing,rien
now,maintenant
of,de
off,éteint
often,souvent
oh,oh
on,sur,dans,par
once,une fois que
only,seulement
or,ou
out,dehors
over,sur,plus de
perhaps,peut-être
self,soi
since,depuis
so,donc
soon,bientôt
still,encore
such,tel
than,que
then,puis
there,là
though,bien que
through,par
to,à
together,ensemble
too,aussi
toward,vers
under,sous
until,jusqu’à
up,en haut
very,très
with,avec
yes,oui
yet,encore
